book_id,level,title,isbn,edition
1.1,1,Tap! Tap! Tap!,978-1-919114-00-2,classroom
1.2,1,The Mud on the Dog,978-1-919114-01-9,classroom
2.1,2,The Red Socks,978-1-919114-02-6,classroom
2.2,2,"Run, Pup, Run!",978-1-919114-03-3,classroom
2.3,2,Fox Fell Off!,978-1-919114-04-0,classroom
2.4,2,The Jam Jug,978-1-919114-05-7,classroom
2.5,2,The Yak and the Box,978-1-919114-06-4,classroom
3.1,3,The Fish in the Tank,978-1-919114-07-1,classroom
3.2,3,"Chop, Chop, Chop!",978-1-919114-08-8,classroom
3.3,3,Buzz and Sing!,978-1-919114-09-5,classroom
4.1,4,The Night Light,978-1-919114-10-1,classroom
4.2,4,Moo at the Zoo,978-1-919114-11-8,classroom
4.3,4,Morning on the Farm,978-1-919114-12-5,classroom
4.4,4,The Fair in the Air,978-1-919114-13-2,classroom
4.5,4,Round and Round,978-1-919114-14-9,classroom
4.6,4,The Night Fair,978-1-919114-15-6,classroom
5.1,5,The Big Bike Race,978-1-919114-16-3,classroom
5.2,5,Lost at the Night Market,978-1-919114-17-0,classroom
5.3,5,The Dream Team,978-1-919114-18-7,classroom
5.4,5,What Min Saw,978-1-919114-19-4,classroom
5.5,5,The Boat with the Red Sail,978-1-919114-20-0,classroom
6.1,6,The Purple Purse,978-1-919114-21-7,classroom
6.2,6,The Brown Owl,978-1-919114-22-4,classroom
6.3,6,The New Glue,978-1-919114-23-1,classroom
6.4,6,The Cheeky Monkey,978-1-919114-24-8,classroom
7.1,7,Before the Shore,978-1-919114-25-5,classroom
7.2,7,Near the Door,978-1-919114-26-2,classroom
7.3,7,Sure She Can!,978-1-919114-27-9,classroom
7.4,7,A Place for Me,978-1-919114-28-6,classroom
8.1,8,The Marvellous Neighbourhood,978-1-919114-29-3,classroom
8.2,8,You Are Remarkable,978-1-919114-30-9,classroom
8.3,8,It Looks Suspicious!,978-1-919114-31-6,classroom
8.4,8,The Incredible Bush Walk,978-1-919114-32-3,classroom
